"","Fecha","Prec","pet","Q"
"269","05/01/1980",6.884714286,81.52442857,42.16
"270","06/01/1980",0.126142857,65.72414286,18.3
"271","07/01/1980",4.077,61.62014286,13.32
"272","08/01/1980",10.73985714,87.51157143,8.6
"273","09/01/1980",40.808,95.20714286,3.74
"274","10/01/1980",75.73242857,105.1625714,20.82
"275","11/01/1980",49.00742857,118.8182857,11.31
"276","12/01/1980",88.97785714,111.0914286,37.13
"277","01/01/1981",194.1144286,88.41171429,167.92
"278","02/01/1981",203.6864286,80.64957143,275.41
"279","03/01/1981",144.5614286,87.83685714,330.41
"280","04/01/1981",76.22414286,85.20985714,153.51
"281","05/01/1981",15.13428571,80.23471429,41.06
"282","06/01/1981",0.201571429,54.42314286,8.28
"283","07/01/1981",0.218714286,53.74314286,8.4
"284","08/01/1981",13.78357143,76.04557143,4.81
"285","09/01/1981",48.78614286,86.73228571,2.85
"286","10/01/1981",79.97428571,104.7334286,3.5
"287","11/01/1981",74.65771429,104.4778571,77.11
"288","12/01/1981",123.1284286,97.10442857,58.3
"289","01/01/1982",173.4224286,86.23042857,275.26
"290","02/01/1982",104.1165714,78.02685714,136.8
"291","03/01/1982",124.0947143,81.50428571,187.15
"292","04/01/1982",123.3244286,86.17928571,146.82
"293","05/01/1982",1.580571429,84.83342857,45.4
"294","06/01/1982",0.822857143,64.83814286,12.45
"295","07/01/1982",1.327,64.11271429,9.17
"296","08/01/1982",2.552142857,82.314,5.7
"297","09/01/1982",44.96628571,94.19914286,4.29
"298","10/01/1982",79.858,103.7004286,37.18
"299","11/01/1982",108.0258571,104.5195714,2.52
"300","12/01/1982",84.39228571,104.7178571,57.5
"301","01/01/1983",80.182,106.169,86.92
"302","02/01/1983",96.48285714,81.94371429,99.73
"303","03/01/1983",59.63142857,92.47328571,61.66
"304","04/01/1983",47.67628571,85.22285714,18.98
"305","05/01/1983",24.002,83.11428571,11.92
"306","06/01/1983",0.518428571,68.91357143,33.56
"307","07/01/1983",1.867142857,76.27057143,5.86
"308","08/01/1983",1.642142857,91.06985714,5
"309","09/01/1983",24.21571429,97.19857143,4.32
"310","10/01/1983",28.64071429,111.6192857,4.45
"311","11/01/1983",39.43685714,111.6561429,46.58
"312","12/01/1983",164.0385714,97.48242857,9.35
"313","01/01/1984",311.3898571,80.75585714,154.07
"314","02/01/1984",262.3497143,75.262,369.13
"315","03/01/1984",165.314,80.90114286,216.4
"316","04/01/1984",75.24371429,81.579,132.44
"317","05/01/1984",14.81757143,83.52914286,47.42
"318","06/01/1984",0.922,65.62771429,33.92
"319","07/01/1984",6.165714286,57.61114286,5.39
"320","08/01/1984",5.372714286,91.85657143,3.43
"321","09/01/1984",8.238714286,100.5232857,1.02
"322","10/01/1984",48.23628571,98.425,0.9
"323","11/01/1984",154.4651429,100.6158571,153.3
"324","12/01/1984",123.5131429,95.08614286,148.63
"325","01/01/1985",96.64871429,84.74671429,523.6908741
"326","02/01/1985",161.853,80.76057143,589.673664
"327","03/01/1985",85.79114286,94.33214286,458.9908655
"328","04/01/1985",46.59628571,83.39314286,235.0772861
"329","05/01/1985",13.72057143,79.94085714,50.12156052
"330","06/01/1985",2.673857143,67.10471429,16.87733347
"331","07/01/1985",0.874142857,56.23957143,6.106526898
"332","08/01/1985",2.452571429,87.90971429,2.621676858
"333","09/01/1985",56.478,92.27685714,1.961565082
"334","10/01/1985",41.68585714,118.402,4.468636204
"335","11/01/1985",147.5925714,97.39757143,76.49277878
"336","12/01/1985",261.3995714,89.665,371.8752745
"337","01/01/1986",208.844,94.56442857,410.1262776
"338","02/01/1986",204.2951429,72.80157143,554.3896775
"339","03/01/1986",165.6918571,87.72271429,462.5891605
"340","04/01/1986",68.40242857,84.35457143,209
"341","05/01/1986",13.451,80.76714286,37.53
"342","06/01/1986",0.053714286,68.33557143,32.63
"343","07/01/1986",4.628142857,50.06014286,11.51
"344","08/01/1986",8.462571429,82.17771429,13.02
"345","09/01/1986",48.604,94.65557143,9.28
"346","10/01/1986",24.76171429,110.0197143,13.94
"347","11/01/1986",60.516,112.5012857,47.53
"348","12/01/1986",194.5484286,96.55971429,16.24
"349","01/01/1987",250.0581429,89.32342857,235.5
"350","02/01/1987",119.8457143,86.15414286,143.02
"351","03/01/1987",60.30385714,95.08814286,91.03
"352","04/01/1987",21.13742857,87.00628571,57.87
"353","05/01/1987",24.509,81.34471429,32.28
"354","06/01/1987",1.450857143,68.50357143,47.9
"355","07/01/1987",7.509714286,65.84257143,13.57
"356","08/01/1987",4.886,98.17657143,12.43
"357","09/01/1987",19.02828571,100.4875714,14.05
"358","10/01/1987",71.56171429,113.2244286,14.24
"359","11/01/1987",69.60042857,98.37928571,11.2
"360","12/01/1987",88.57057143,110.7488571,61.28
"361","01/01/1988",176.5545714,98.90171429,93.82
"362","02/01/1988",94.93842857,85.92585714,163.81
"363","03/01/1988",191.0672857,86.00042857,270.73
"364","04/01/1988",79.22342857,84.32342857,300.33
"365","05/01/1988",37.132,78.71842857,63.54
"366","06/01/1988",0.345857143,57.53442857,18.7
"367","07/01/1988",1.177,51.81728571,17.24
"368","08/01/1988",0.076714286,95.08571429,10.83
"369","09/01/1988",22.58414286,98.22328571,15.5
"370","10/01/1988",20.11042857,117.1642857,13.3
"371","11/01/1988",34.66528571,111.6742857,11.2
"372","12/01/1988",127.6501429,98.79328571,13.6
